Time_ms,Latitude,Longitude,Altitude_m,Temp_C,Pressure_Pa,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
8681,0.000000,0.000000,-0.01,24.91,1018.45,0.05,-0.17,0.99,-0.05,-0.08,0.05
8890,0.000000,0.000000,-0.06,24.89,1018.46,0.05,-0.16,0.99,0.01,-0.02,-0.07
8994,0.000000,0.000000,-0.12,24.84,1018.46,0.05,-0.16,0.99,-0.05,0.10,0.11
9099,0.000000,0.000000,-0.16,24.84,1018.46,0.05,-0.16,1.00,0.01,0.04,0.05
9214,0.000000,0.000000,-0.13,24.85,1018.46,0.05,-0.16,1.00,-0.05,0.04,-0.13
9319,0.000000,0.000000,-0.04,24.86,1018.45,0.05,-0.16,0.99,-0.18,-0.08,0.05
9427,0.000000,0.000000,-0.10,24.87,1018.46,0.05,-0.16,0.99,-0.11,-0.08,-0.01
9542,0.000000,0.000000,-0.07,24.88,1018.45,0.05,-0.16,1.00,-0.30,0.22,0.05
9647,0.000000,0.000000,-0.02,24.88,1018.45,0.06,-0.17,1.00,-0.48,-0.20,0.23
9903,0.000000,0.000000,0.01,24.89,1018.45,0.05,-0.16,1.00,-0.05,-0.02,-0.01
10007,0.000000,0.000000,-0.10,24.85,1018.46,0.04,-0.16,1.00,-0.05,-0.02,-0.01
10112,0.000000,0.000000,-0.08,24.84,1018.46,0.05,-0.16,1.00,0.07,0.04,0.05
10227,0.000000,0.000000,-0.06,24.85,1018.45,0.05,-0.16,0.99,0.01,-0.02,-0.01
10335,0.000000,0.000000,0.00,24.86,1018.45,0.05,-0.15,1.00,-0.11,-0.14,-0.13
10440,0.000000,0.000000,-0.01,24.86,1018.45,0.05,-0.16,1.00,0.07,-0.20,-0.07
10555,0.000000,0.000000,0.01,24.86,1018.44,0.05,-0.16,1.00,0.07,-0.02,-0.07
10660,0.000000,0.000000,-0.03,24.86,1018.45,0.05,-0.16,0.99,0.07,-0.02,-0.01
10900,0.000000,0.000000,-0.01,24.87,1018.45,0.05,-0.16,1.00,-0.05,0.04,0.05
