Time,Disp_X,Disp_Y,Disp_Z,Vel_X,Vel_Y,Vel_Z,Acc_X,Acc_Y,Acc_Z,Ang_R,Ang_P,Ang_Y,Pressure,Temp
0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.2,1.0,0.0,0.0,0.0,1018,22.8
0,0.0,0.0,-0.0,0.0,0.0,-0.1,0.1,-0.2,1.0,-0.0,-0.0,0.0,1018,22.8
0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.2,1.0,-0.0,-0.0,0.1,1018,22.8
0,0.0,0.0,-0.1,0.0,0.0,-0.7,0.1,-0.2,1.0,-0.0,-0.0,0.0,1018,22.7
0,0.0,0.0,-0.1,0.0,0.0,-0.5,0.1,-0.2,1.0,-0.0,-0.0,0.1,1018,22.7
0,0.0,0.0,-0.1,0.0,0.0,0.2,0.1,-0.2,1.0,-0.0,-0.0,0.1,1018,22.7
0,0.0,0.0,-0.1,0.0,0.0,-0.1,0.1,-0.2,1.0,-0.0,-0.0,0.0,1018,22.7
0,0.0,0.0,-0.1,0.0,0.0,0.2,0.1,-0.2,1.0,-0.0,0.0,0.1,1018,22.7
1,-0.1,-0.4,-0.1,-0.9,-4.4,0.2,0.1,-0.2,1.0,-0.0,0.0,0.1,1018,22.7
1,-0.1,-0.4,-0.0,0.0,0.0,0.4,0.1,-0.2,1.0,-0.0,0.0,0.0,1018,22.7
1,-0.1,-0.4,0.0,0.0,0.0,0.2,0.1,-0.2,1.0,-0.0,0.0,0.0,1018,22.7
1,-0.1,-0.4,-0.1,0.0,0.0,-0.9,0.1,-0.2,1.0,-0.0,0.0,0.0,1018,22.7
1,-0.1,-0.4,-0.1,0.0,0.0,-0.3,0.1,-0.2,1.0,-0.0,0.0,0.0,1018,22.7
1,-0.1,-0.4,-0.1,0.0,0.0,0.2,0.1,-0.2,1.0,0.0,0.0,0.0,1018,22.7
1,-0.1,-0.4,-0.1,0.0,0.0,0.2,0.1,-0.2,1.0,0.0,0.0,0.0,1018,22.7
1,-0.2,-0.6,-0.1,-0.7,-0.9,0.0,0.1,-0.2,1.0,0.0,0.0,0.0,1018,22.7
2,-0.2,-0.6,-0.1,0.0,0.0,0.2,0.1,-0.2,1.0,0.0,0.0,0.0,1018,22.7
2,-0.2,-0.6,-0.1,0.0,0.0,-0.1,0.1,-0.2,1.0,0.0,0.0,0.0,1018,22.7
2,-0.2,-0.6,-0.1,0.0,0.0,-0.1,0.1,-0.2,1.0,0.0,0.1,0.0,1018,22.7
2,-0.2,-0.6,-0.2,0.0,0.0,-0.8,0.1,-0.2,1.0,0.0,0.1,0.0,1018,22.7
2,-0.2,-0.6,-0.2,0.0,0.0,0.0,0.1,-0.2,1.0,0.0,0.0,-0.0,1018,22.7
2,-0.2,-0.6,-0.2,0.0,0.0,0.1,0.1,-0.2,1.0,0.0,0.0,0.0,1018,22.7
2,-0.2,-0.6,-0.1,0.0,0.0,0.4,0.1,-0.2,1.0,0.0,0.0,-0.0,1018,22.7
2,-0.2,-0.7,-0.0,0.0,-1.0,0.8,0.1,-0.2,1.0,0.0,0.0,-0.0,1018,22.7
3,-0.2,-0.7,-0.0,0.0,0.0,0.0,0.1,-0.2,1.0,0.0,0.0,-0.0,1018,22.7
3,-0.2,-0.7,-0.0,0.0,0.0,0.0,0.1,-0.2,1.0,0.0,0.0,0.0,1018,22.7
3,-0.2,-0.7,0.0,0.0,0.0,0.2,0.1,-0.2,1.0,0.1,0.0,-0.0,1018,22.7
